HL,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,XA,XB,XC,XD,XE,XF
0X,NOP,HLT,MOV B (O),MOV (O) B,PSH B,POP B,MOV H B,MOV L B,SWP L H,INC,ADD O,ADD (O),ADD (O+X),ADD I,ADD (I),ADD (I+X)
1X,CAL I,JMP I,MOV B (O+X),MOV (O+X) B,PSH G,POP G,MOV H G,MOV L G,SWP L B,FLP,ADC O,ADC (O),ADC (O+X),ADC I,ADC (I),ADC (I+X)
2X,CAZ I,JMZ I,MOV G (O),MOV (O) G,PSH O ,POP O,MOV H O,MOV L O,SWP L G,DEC,SUB O,SUB (O),SUB (O+X),SUB I,SUB (I),SUB (I+X)
3X,CAH I,JMH I,MOV G (O+X),MOV (O+X) G,PSH X,POP X,MOV H X,MOV L X,SWP L O,FLN,MUL O,MUL (O),MUL (O+X),MUL I,MUL (I),MUL (I+X)
4X,CAO I,JMO I,MOV O (O),MOV (O) O,PSH (O),POP (O),MOV F B,MOV B G,SWP L X,INV,DIV O,DIV (O),DIV (O+X),DIV I,DIV (I),DIV (I+X)
5X,CAX I,JMX I,MOV O (O+X),MOV (O+X) O,PSH (O+X),POP (O+X),MOV F G,MOV B O,SWP L (O),NEG,XOR O,XOR (O),XOR (O+X),XOR I,XOR (I),XOR (I+X)
6X,CAT I,JMT I,MOV X (O),MOV (O) X,PSH (I),POP (I),MOV F O,MOV B X,SWP L (O+X),ZER,AND O,AND (O),AND (O+X),AND I,AND (I),AND (I+X)
7X,CAE I,JME I,MOV X (O+X),MOV (O+X) X,PSH (I+X),POP (I+X),MOV F X,MOV G B,SWP L (I),FIL,OR O,OR (O),OR (O+X),OR I,OR (I),OR (I+X)
8X,RET,RST,MOV B (I),MOV (I) B,MOV B S,MOV S B,MOV P B,MOV G O,PFX,SHL,SHL O,SHL (O),SHL (O+X),SHL I,SHL (I),SHL (I+X)
9X,JMP (I+P),JMP O,MOV B (I+X),MOV (I+X) B,MOV G S,MOV S G,MOV P G,MOV G X,SWP B G,SHR,SHR O,SHR (O),SHR (O+X),SHR I,SHR (I),SHR (I+X)
AX,JMZ (I+P),JMZ O,MOV G (I),MOV (I) G,MOV O S,MOV S O,MOV P O,MOV O B,SWP B O,RTL,RTL O,RTL (O),RTL (O+X),RTL I,RTL (I),RTL (I+X)
BX,JMH (I+P),JMH O,MOV G (I+X),MOV (I+X) G,MOV X S,MOV S X,MOV P X,MOV O G,SWP B X,RTR,RTR O,RTR (O),RTR (O+X),RTR I,RTR (I),RTR (I+X)
CX,JMO (I+P),JMO O,MOV O (I),MOV (I) O,MOV (O) S,MOV S (O),MOV I B,MOV O X,SWP G O,ASL,ASL O,ASR (O),ASR (O+X),ASR I,ASR (I),ASR (I+X)
DX,JMX (I+P),JMX O,MOV O (I+X),MOV (I+X) O,MOV I S,PSH I,MOV I G,MOV X B,SWP G X,ASR,ASR O,ASL (O),ASL (O+X),ASL I,ASL (I),ASL (I+X)
EX,JMT (I+P),JMT O,MOV X (I),MOV (I) X,MOV (I) S,MOV S (I),MOV I O,MOV X G,SWP O X,ARL,ARL O,ARL (O),ARL (O+X),ARL I,ARL (I),ARL (I+X)
FX,JME (I+P),JME O,MOV X (I+X),MOV (I+X) X,MOV (I+X) S,MOV S (I+X),MOV I X,MOV X O,MOD O,ARR,ARR O,ARR (O),ARR (O+X),ARR I,ARR (I),ARR (I+X)
Preceded:$88,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,XA,XB,XC,XD,XE,XF
